Country,Year,Yearly Average Temperature,Nitrogen Oxide,Sulphur Dioxide,Carbon Monoxide,Organic Carbon,NMVOCs,Black Carbon,Ammonia
Mauritius,1967,23.7195,12256.0,1688.49,136054.32,2498.1,10504.18,537.95,4472.57
Mexico,1967,20.683333333333334,447536.9,866868.26,4561397.63,106203.72,868672.68,33617.62,350581.73
Moldova,1967,9.585666666666668,76568.68,65748.09,203164.03,11585.54,62853.79,2590.53,38022.82
Mongolia,1967,-0.9076666666666666,52641.8,16795.89,157838.02,4512.99,6954.41,1375.76,63844.66
Montenegro,1967,10.346166666666669,1004.07,153.14,45636.4,3074.46,14585.27,762.14,1293.82
Montserrat,1967,26.297666666666668,48.8,10.72,104.7,15.43,35.87,3.2,107.38
Morocco,1967,17.543583333333334,38155.56,44743.32,305677.39,37236.4,85497.61,10803.72,69541.74
Mozambique,1967,23.782,22491.26,14013.38,1286837.11,18674.35,179949.9,4875.4,55428.97
Namibia,1967,20.373916666666663,2707.36,76.42,23378.95,1740.98,4171.91,461.88,18224.0
Nepal,1967,14.769,27111.72,7320.42,794124.27,46643.8,164883.29,12865.14,74621.96
Netherlands,1967,10.293666666666669,428874.38,719945.82,1249318.9,15106.83,414169.82,12681.0,145568.38
New Caledonia,1967,22.92933333333333,6596.53,9569.03,25209.9,255.11,6279.69,248.28,1087.66
New Zealand,1967,10.504416666666666,69120.39,69860.13,460056.11,3538.29,84673.94,2604.96,90126.23
Nicaragua,1967,25.957916666666662,12493.75,7608.53,232521.88,9163.08,47787.85,2434.86,28407.1
Niger,1967,27.296166666666668,5133.64,405.14,116919.49,8377.74,26619.61,2211.05,39671.03
Nigeria,1967,26.595166666666668,121082.87,38915.39,5819872.86,161035.84,1138004.25,45521.24,292586.73
Niue,1967,25.15983333333333,17.95,1.71,203.64,18.01,67.38,3.9,28.63
North America,1967,2.1598333333333333,25039586.78,31195567.6,174721030.2,917503.51,31236129.13,461310.14,3606493.0
North Korea,1967,6.847166666666666,214830.47,200570.03,5329396.2,35579.96,205840.98,18168.33,70569.34
Norway,1967,0.4153333333333336,125681.44,136871.35,583423.67,4668.37,104403.22,3828.13,22215.15
Oceania,1967,21.4575,782075.19,1117170.96,3752402.01,47793.06,911218.79,28087.48,470377.15
Oman,1967,26.81533333333333,2113.07,303.49,12302.85,161.42,44614.43,663.56,1537.67
Pakistan,1967,20.34858333333333,215101.72,208322.15,2717088.66,112420.68,584028.4,37353.7,410704.38
Palau,1967,27.356916666666667,4954.11,563.06,32814.37,23.6,9607.87,16.18,49.33
Panama,1967,26.232333333333333,14596.07,12598.52,195035.41,4222.37,36793.71,1145.58,14310.42
Papua New Guinea,1967,24.334333333333333,5036.82,3590.8,102806.45,3752.29,20016.14,1189.33,8701.19
Paraguay,1967,23.92308333333333,12795.57,2645.0,225172.69,12742.03,43973.1,3368.11,35729.84
Peru,1967,19.964,104754.53,553485.63,1393028.78,45078.5,272314.83,13802.23,98499.77
Philippines,1967,26.57375,131540.23,369081.11,2407804.4,82427.01,473973.53,24294.93,171751.69
Poland,1967,8.5415,627754.96,2056537.5,3098848.62,127606.83,627025.58,68518.99,348964.12
Portugal,1967,14.699666666666667,57945.04,70009.06,256111.29,4798.83,130386.55,2653.27,58061.7
Puerto Rico,1967,25.354250000000004,12034.52,29248.63,19843.18,1574.34,12763.36,731.07,10247.7
Qatar,1967,26.55975,10197.49,3674.58,52295.35,293.78,139430.12,1334.63,194.92
Reunion,1967,23.5575,2127.67,1239.6,5567.29,984.88,2429.07,418.8,1836.62
Romania,1967,9.286666666666669,221132.83,485337.55,675221.53,41087.06,279192.51,10960.05,247058.18
Russia,1967,-4.36325,3892235.25,8246503.76,14486040.92,634478.24,5348570.64,302386.02,1872214.54
Rwanda,1967,19.10325,3009.9,868.89,177925.66,13314.58,27410.28,3680.48,12649.14
Saint Lucia,1967,26.66425,429.21,69.61,2339.33,229.27,611.01,41.54,433.26
Samoa,1967,26.123666666666665,259.97,208.29,2535.08,212.85,782.9,67.88,739.11
Saudi Arabia,1967,25.17291666666667,41600.64,157304.57,151175.74,830.56,1144897.0,3187.71,10291.07
Senegal,1967,27.58558333333333,7931.39,5308.1,258897.15,6197.99,51358.64,1826.46,30120.12
Serbia,1967,10.316166666666666,72029.15,248445.5,258837.63,16205.05,74176.25,4870.37,14380.91
Seychelles,1967,26.915166666666668,137.14,54.03,808.35,151.47,232.05,66.27,191.38
Sierra Leone,1967,25.976,5448.49,1917.2,208513.16,9758.38,32467.53,2762.71,11801.14
Singapore,1967,26.68175,9000.75,30248.59,11887.31,4059.18,10308.25,1256.67,8617.68
Slovakia,1967,8.268833333333333,86022.41,315091.81,504701.42,18257.02,138146.62,4001.17,37893.95
Slovenia,1967,10.13175,52884.49,18520.17,207547.58,2872.8,31907.71,514.29,20521.17
Solomon Islands,1967,26.532416666666663,256.01,262.42,2461.75,215.87,748.18,72.69,557.24
Somalia,1967,26.941166666666664,11483.53,1930.77,242862.2,12897.77,42354.65,3639.92,59008.42
South Africa,1967,17.307833333333335,492542.33,1013472.64,2972289.28,102232.27,597449.73,45109.32,166603.64
South America,1967,22.0925,1624002.72,3170140.56,17867324.41,619413.45,4971426.68,193787.09,1993115.64
South Korea,1967,12.04625,94772.94,285262.16,472019.64,86293.2,99769.16,42459.09,262384.62
Spain,1967,13.697916666666666,640263.01,1034136.38,1336019.32,23163.23,325904.12,14374.7,298958.15
Sri Lanka,1967,27.06266666666667,42371.75,28445.44,881976.07,38601.81,173135.94,10103.9,65206.17
Sudan,1967,26.627166666666668,43145.54,18374.58,1379958.96,29574.81,248981.51,9148.61,118796.78
Suriname,1967,26.28458333333333,5405.54,1891.74,27481.6,998.32,5340.15,310.71,2303.76
Sweden,1967,2.93325,195773.03,603769.97,816316.59,8710.0,248258.3,7898.55,77781.45
Switzerland,1967,7.483416666666667,167752.8,151281.87,901147.06,9874.05,238729.81,10182.5,92418.23
Syria,1967,17.196,19893.27,22924.85,71507.0,914.15,31352.09,843.96,17967.29
Taiwan,1967,21.998166666666663,62467.04,271042.59,210029.9,19619.57,143864.77,9772.62,86058.75
Tajikistan,1967,3.884,35004.42,36455.51,278731.85,11094.03,65935.16,1793.13,7947.72
Tanzania,1967,22.352500000000003,31974.03,8401.74,1560069.72,73126.53,233380.07,19716.66,102030.48
Thailand,1967,26.09775,103636.87,135330.82,2970858.7,40628.51,549341.19,14735.18,295593.24
Togo,1967,26.703666666666667,3126.25,741.31,133609.69,4056.64,30270.91,1206.09,10452.17
Tonga,1967,23.333,146.65,120.17,699.86,132.42,316.04,40.82,384.55
Tunisia,1967,19.946166666666667,16854.78,25409.38,147590.72,5508.46,53811.23,2185.78,20268.03
Turkey,1967,11.024666666666668,186016.79,315945.52,1507506.11,62359.74,561018.1,16935.69,326177.76
Turkmenistan,1967,14.948416666666668,98960.35,81731.15,208488.01,5146.16,50370.33,2329.75,6687.28
Uganda,1967,22.92683333333333,25730.65,5700.2,1152038.73,36679.32,191126.61,10129.21,68285.9
Ukraine,1967,8.327916666666665,1338285.81,3824061.53,4457739.51,154569.73,1328114.0,50913.03,754893.24
United Arab Emirates,1967,27.640833333333333,7834.22,1865.6,27558.16,217.34,156257.15,1056.44,716.9
United Kingdom,1967,8.833166666666667,2428361.8,5713284.47,10234708.79,151300.95,1988205.57,118124.94,357093.29
United States,1967,8.902,22253636.8,24535792.75,154844833.7,576321.43,26878811.03,357480.36,2607689.73
Uruguay,1967,17.698416666666667,34794.91,39383.59,233649.84,5646.25,39574.93,2268.15,66259.34
Uzbekistan,1967,12.638416666666666,211257.55,992730.39,886253.4,23050.89,84247.44,4807.99,24739.36
Venezuela,1967,25.058916666666665,173168.17,470519.67,2091647.32,10403.14,1758603.78,6528.98,78025.71
Vietnam,1967,23.63883333333333,129888.84,106247.93,5130253.47,103743.73,1003037.61,32087.89,344383.08
Western Sahara,1967,22.34708333333333,143.64,14.46,160.13,321.21,65.36,85.23,822.05
Yemen,1967,26.26825,22562.63,15182.02,130492.74,776.65,46314.36,895.77,20801.39
Zambia,1967,21.249166666666667,25658.66,1511092.34,855185.07,19330.47,104744.52,5832.56,30807.61
Zimbabwe,1967,21.145333333333333,33119.28,65697.79,670319.56,40699.1,121180.02,11962.06,55338.48
Afghanistan,1968,13.762333333333332,192076.79,4668.24,386797.87,17596.39,156920.24,5386.91,62146.77
Africa,1968,24.011750000000003,1499965.93,3515574.25,31027564.96,1171582.02,7225076.99,390219.23,2341642.95
Albania,1968,12.869583333333331,16161.15,45098.15,185509.68,10089.58,35330.28,1233.49,18984.94
Algeria,1968,23.185916666666667,63050.47,24095.77,283114.46,32587.77,621524.69,32265.35,34314.2
American Samoa,1968,26.480833333333333,185.83,301.94,431.69,29.33,149.35,15.8,79.2
Angola,1968,21.748166666666663,17493.28,8449.61,708402.57,28867.67,149795.87,8406.8,48391.46
Argentina,1968,15.196916666666668,437398.33,202958.06,1924658.08,32263.1,436089.24,20065.34,367698.93
Armenia,1968,8.906583333333336,34169.9,39325.96,207922.58,6403.6,56071.62,1270.04,13624.96
Aruba,1968,28.11433333333333,462.82,484595.22,1054.82,79.23,408.1,54.71,153.03
Asia,1968,7.384666666666667,10756051.08,17921454.15,156186712.6,3894822.04,26370616.52,1580428.52,14305222.25
Australia,1968,21.462166666666665,729985.4,1242818.77,3236998.74,38762.85,821623.48,24665.87,374006.21
Austria,1968,6.37925,162493.57,335177.46,1158119.47,12648.13,316324.03,6033.59,63747.68
Azerbaijan,1968,11.695916666666667,78621.38,91779.17,189368.51,22228.93,93623.22,4305.75,44507.25
Bahamas,1968,24.885,4293.19,1769.28,6864.1,152.97,1336.19,97.21,559.92
Bahrain,1968,25.921916666666664,2035.28,274.04,5317.28,18.51,71944.17,46.73,250.65
Bangladesh,1968,24.9405,71897.51,52979.0,1185046.44,50889.52,329397.98,17699.77,361313.68
Barbados,1968,26.50191666666667,6855.35,682.24,6380.85,572.73,2742.67,124.24,1297.53
Belarus,1968,5.678750000000001,205042.68,338510.78,996287.14,25857.47,709502.25,10077.96,201770.92
Belgium,1968,9.412333333333336,337540.58,926181.29,1822374.87,29062.37,303976.26,21494.14,91236.1
Belize,1968,25.0455,1925.9,155.23,10226.82,190.63,2471.66,38.27,1001.22
Benin,1968,27.175666666666668,7094.06,1085.65,216151.84,10892.45,42432.91,3032.37,18065.02
Bhutan,1968,11.634333333333332,6650.52,1509.9,155217.75,600.44,24561.13,157.52,21584.09
Bolivia,1968,21.13158333333333,16718.12,8348.27,260952.83,3336.04,63802.34,1272.85,36490.89
Botswana,1968,21.930000000000003,1662.42,172.16,53545.49,3961.03,9145.46,1052.55,13995.86
Brazil,1968,24.63125,654686.41,459763.21,8482349.52,410372.58,1764497.36,118750.79,1032412.49
British Virgin Islands,1968,26.32333333333333,64.88,21.67,118.63,14.11,49.07,3.34,57.59
Bulgaria,1968,11.00825,210856.15,2562354.4,582454.88,23468.42,349714.44,6782.38,156731.7
Burkina Faso,1968,28.12291666666667,9660.43,1589.72,499966.41,23003.21,83187.54,6115.0,37930.83
Burundi,1968,19.9255,4477.63,927.37,261190.93,12737.17,44555.7,3541.6,16337.53
Cambodia,1968,27.008916666666668,25592.89,5270.94,588672.12,18296.95,117890.73,4642.54,59954.48
Cameroon,1968,24.355833333333333,13869.35,4225.37,557592.02,32514.13,95964.16,8828.75,42834.37
Canada,1968,-4.6457500000000005,1988450.54,4886986.73,11106098.08,89989.59,2600897.85,31048.02,262089.22
Cape Verde,1968,23.884416666666667,227.89,237.37,2159.76,657.53,916.56,225.02,626.57
Cayman Islands,1968,26.47975,97.32,31.15,122.71,8.36,49.4,2.69,41.17
Central African Republic,1968,25.143833333333333,4018.72,1309.48,171052.84,7261.7,29843.35,2019.23,11660.47
Chad,1968,27.05925,7054.9,1387.18,219222.14,14490.51,35266.21,3945.88,34210.39
Chile,1968,9.876916666666666,95258.17,1433081.92,1220069.93,23822.74,223963.53,8038.85,63928.73
China,1968,6.727,1874005.08,4402746.82,80657059.92,1382559.08,7656837.96,670390.95,5900134.05
Colombia,1968,24.814833333333336,150502.54,125491.65,2113447.39,62707.4,422282.83,18605.42,186169.87
Comoros,1968,25.4145,253.92,147.36,3187.74,994.24,832.46,260.54,744.66
Congo,1968,24.426166666666663,9087.14,4961.54,103417.44,3403.83,23801.32,1257.7,5221.39
Costa Rica,1968,25.47208333333333,12150.17,5004.05,128725.66,8324.74,24026.09,2221.68,20842.55
Croatia,1968,11.577333333333334,72373.31,231590.16,434003.37,22013.16,101473.7,2391.34,61516.37
Cuba,1968,25.237583333333333,199543.65,243316.36,1375030.48,28598.31,287533.5,7781.15,109322.68
Cyprus,1968,19.19308333333333,9315.49,15570.9,24120.55,750.43,10301.29,423.99,6650.05
Denmark,1968,-18.27583333333333,208947.81,420352.28,886120.62,4127.7,179514.42,5224.55,117620.06
Djibouti,1968,28.54358333333333,1660.75,877.82,8601.84,585.33,1869.54,187.82,800.6
Dominica,1968,26.1335,184.71,35.79,1084.73,66.63,391.51,13.24,305.12
Dominican Republic,1968,25.769333333333336,49861.03,19867.13,433674.54,13618.36,87219.26,3314.26,33315.32
Ecuador,1968,21.894166666666667,33538.24,16405.56,471749.58,16635.82,78934.07,4634.78,77991.77
Egypt,1968,22.73883333333333,136167.62,180416.22,633095.49,27135.21,282519.7,9758.74,125078.74
El Salvador,1968,24.76816666666667,18374.18,9604.96,490957.39,10892.58,86224.93,2832.04,32578.13
Equatorial Guinea,1968,24.997416666666663,427.73,208.43,24909.09,1097.31,3931.18,310.25,1151.61
Eritrea,1968,26.46025,1734.0,206.55,79060.05,4116.1,10979.78,1132.85,12804.8
Estonia,1968,4.616916666666667,43347.72,154746.13,165801.62,9233.25,42996.32,2576.12,14127.92
Ethiopia,1968,22.635166666666667,109986.0,14848.59,3354951.62,123974.41,677791.99,35196.44,266599.69
Europe,1968,7.886500000000001,17988279.7,45002293.87,80156784.86,1919958.06,21928293.11,973559.55,7606777.27
Fiji,1968,25.07225,6191.44,2922.26,17092.3,807.08,5079.47,322.17,2992.27
Finland,1968,0.4874166666666666,194368.51,239738.27,419037.2,33830.35,161829.84,7540.5,41203.69
France,1968,12.79775,1427003.23,2215806.73,10452210.86,124706.53,2389590.03,90665.92,625466.51
French Guiana,1968,25.77425,372.5,125.44,2114.96,167.53,580.04,44.75,191.04
French Polynesia,1968,25.92033333333333,1617.51,1221.12,7788.34,344.67,2104.44,116.18,335.88
Gabon,1968,24.25691666666667,5271.41,6690.98,91943.97,6725.72,52359.31,2291.71,4070.64
Gambia,1968,27.322166666666664,532.74,279.08,16927.81,1738.12,2686.49,472.35,2352.53
Georgia,1968,8.682916666666667,74143.29,73734.3,403909.44,17328.06,98321.98,3092.56,38314.51
Germany,1968,8.323583333333334,2027001.31,7128138.72,11190185.98,233164.91,2905180.9,144525.5,692533.03
Ghana,1968,26.73175,16112.07,8798.23,623557.91,22502.24,109261.49,6733.75,35529.87
Greece,1968,15.1145,112111.54,271734.47,603826.81,7162.29,151354.59,3084.87,67764.06
Greenland,1968,-18.818916666666667,7.06,3.47,1.43,0.0,211.49,0.0,83.27
Grenada,1968,26.74625,415.42,70.62,1635.4,149.66,527.07,28.41,352.46
Guadeloupe,1968,26.312583333333336,4035.02,441.94,5266.34,704.92,2032.47,137.56,1199.75
Guam,1968,26.702416666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guatemala,1968,23.01816666666667,37726.53,15051.76,490806.79,27235.61,97448.16,7017.13,42813.35
Guinea,1968,25.573833333333337,11245.4,4773.48,416990.83,17159.07,70718.84,4787.88,24159.24
Guyana,1968,25.90758333333333,27632.74,2137.43,74839.39,3692.46,20209.08,858.7,7722.46
Haiti,1968,26.5325,11598.64,2410.68,351481.2,15625.61,68607.69,4088.66,39575.97
Honduras,1968,24.5855,14581.78,6377.16,288529.11,14274.9,58957.49,3741.69,27877.69
Hong Kong,1968,22.820083333333333,35567.89,18976.18,62657.02,721.9,23954.56,1188.55,7503.75
Hungary,1968,10.220583333333334,217783.99,1314005.88,1201577.01,36555.83,204003.81,15060.84,156164.39
Iceland,1968,0.8940000000000001,21833.62,50306.98,22659.87,172.16,7262.2,399.66,3704.38
India,1968,23.86475,1146604.25,1183914.85,26314956.14,1170724.79,4568340.38,385454.8,3710122.33
Indonesia,1968,25.951083333333333,166271.77,171720.01,6385425.49,314027.14,1651333.97,88827.71,546907.18
Iran,1968,17.54825,185432.79,493452.82,657537.42,4915.87,1350291.13,13674.82,134502.41
Iraq,1968,22.015583333333336,58043.1,75678.53,227518.41,1877.97,637137.79,4809.77,39124.37
Ireland,1968,9.588833333333334,78310.5,136438.02,264062.0,12197.37,82196.14,3773.92,78725.72
Israel,1968,19.983416666666667,66813.58,129637.67,195200.24,922.94,156874.82,2017.81,14108.77
Italy,1968,12.84525,1015449.52,2324225.21,5097231.37,25540.73,1451406.53,22638.39,404038.88
Jamaica,1968,26.1945,28369.42,41720.16,227008.84,2218.17,43168.66,926.42,8561.91
Japan,1968,12.190416666666666,3824701.02,4342840.07,6723078.68,48115.66,913359.8,68387.27,603743.61
Jordan,1968,19.691166666666668,7625.03,6507.8,35139.39,198.61,13533.54,308.53,5411.79
Kazakhstan,1968,5.392,609234.0,2965291.98,1408300.87,30895.0,199018.64,22751.63,38679.96
Kenya,1968,23.579666666666668,34050.63,23433.14,1025138.7,25287.61,220902.55,8391.03,99022.9
Kiribati,1968,26.856333333333332,231.18,254.45,1045.53,81.5,373.25,31.46,162.63
Kuwait,1968,25.329833333333337,40704.96,15190.21,182680.77,1072.86,1043138.87,4310.3,2445.96
Kyrgyzstan,1968,3.5055833333333326,70322.78,82941.33,428405.28,11521.07,76953.8,1917.62,8176.84
Laos,1968,23.847250000000003,22515.69,3291.52,199417.96,5131.54,39462.57,1347.8,35122.55
Latvia,1968,5.180833333333333,72836.82,82421.37,484504.82,12398.08,73828.68,2776.24,30498.29
Lebanon,1968,18.07858333333333,21387.18,30555.18,160294.11,1226.13,42432.37,441.77,8859.72
Lesotho,1968,13.540583333333332,1762.71,188.62,86213.93,4284.14,14014.07,1129.84,8684.48
Liberia,1968,25.524916666666662,7992.78,4826.61,179362.98,6234.51,28152.26,1948.88,7860.9
Libya,1968,22.465166666666665,44708.54,15572.18,227185.66,5863.21,971805.25,18873.43,8008.47
Liechtenstein,1968,4.679749999999999,0.34,0.05,3.45,0.48,0.75,0.06,25.78
Lithuania,1968,5.9075,69310.4,111351.55,394474.78,7330.71,100125.1,3469.08,54011.87
Luxembourg,1968,9.081916666666666,30422.82,42222.9,397043.33,674.39,12842.71,719.04,4751.55
Madagascar,1968,22.4855,14604.44,6314.13,306541.84,24407.1,59912.6,7048.66,64311.49
Malawi,1968,21.240333333333336,5785.18,2384.51,171811.66,18495.71,29317.86,5016.37,15925.56
Malaysia,1968,26.08475,59411.92,69723.14,669392.81,17576.71,165507.8,7110.42,67307.85
Mali,1968,28.53991666666667,8550.11,2175.69,287895.71,23366.61,47966.05,6366.07,45504.99
Malta,1968,18.689416666666663,3350.56,6263.31,41428.7,71.25,2722.01,71.68,938.45
Martinique,1968,26.1335,2165.72,494.91,7141.0,897.04,1991.42,166.16,1394.44
Mauritania,1968,27.58,3362.5,1474.94,40586.0,4544.4,7733.82,1318.99,16365.29
Mauritius,1968,23.197666666666667,13804.53,2127.03,143272.03,2523.35,11603.3,544.42,4450.35
Mexico,1968,20.31608333333333,461301.89,896591.16,4665391.74,106379.75,892509.78,33895.68,372874.16
Moldova,1968,9.478166666666668,76363.72,64179.3,212301.23,11537.74,65636.77,2582.57,39678.59
Mongolia,1968,-0.9830000000000002,54175.68,19377.21,180924.42,4724.14,7259.29,1404.6,65015.66
Montenegro,1968,10.461,997.07,150.02,44672.15,3006.71,14371.58,750.3,1275.54
Montserrat,1968,26.35608333333333,50.2,10.76,104.93,15.46,36.1,3.12,106.73
Morocco,1968,17.71825,40010.29,46801.89,311399.32,38014.69,87367.64,11016.45,73831.43
Mozambique,1968,23.4185,29997.47,20091.85,1360979.79,19006.87,193484.91,5052.83,56496.02
Namibia,1968,20.421166666666668,2770.99,78.07,23712.72,1766.78,4236.23,468.05,18584.02
Nepal,1968,14.615083333333336,29354.44,7570.92,809778.87,47431.09,173139.63,13108.36,80701.19
Netherlands,1968,9.549916666666666,456002.1,722683.5,1287291.94,13349.1,424679.92,11538.54,145286.07
New Caledonia,1968,22.3945,8073.8,10930.09,33701.58,286.86,8175.77,323.01,1111.3
New Zealand,1968,10.51125,72428.84,69137.89,477983.14,3542.9,88846.56,2691.93,93738.27
Nicaragua,1968,25.77875,13802.71,8639.12,250849.06,9428.98,52063.17,2518.69,29016.67
Niger,1968,27.501083333333337,5317.48,426.79,120508.51,8641.98,28526.78,2276.42,40484.13
Nigeria,1968,26.804,96480.81,21798.97,5744168.52,163927.94,998906.21,44498.79,299465.06
Niue,1968,25.054583333333337,18.06,1.72,205.01,18.12,68.25,3.93,28.7
North America,1968,2.224833333333333,26696613.35,33031889.5,184230994.8,915592.72,32749097.91,473090.98,3673246.94
North Korea,1968,6.991333333333333,271366.13,218679.64,7260705.04,37654.03,312706.9,19832.11,72045.55
Norway,1968,-0.6878333333333332,130364.02,141969.68,588949.41,4500.2,105908.45,3703.48,22487.04
Oceania,1968,21.31683333333333,831017.6,1333736.52,3931280.34,48693.09,961915.66,29720.31,484542.26
Oman,1968,26.728166666666667,4704.98,463.87,27131.37,549.54,176916.73,2584.53,1579.27
Pakistan,1968,20.341833333333334,242463.44,236696.51,2819831.9,115687.47,620817.23,38722.45,440637.32
Palau,1968,27.504,5186.68,591.28,36793.14,23.95,10515.14,16.27,47.1
Panama,1968,26.31,17187.97,15106.09,216154.99,4215.73,41147.13,1169.11,14486.06
Papua New Guinea,1968,24.4845,5474.53,4102.19,107110.9,3820.91,21136.05,1220.9,8833.07
Paraguay,1968,23.50733333333333,13641.76,3076.39,235100.32,13071.28,46755.7,3478.78,36408.28
Peru,1968,19.952666666666666,109160.9,546516.1,1436808.85,46209.16,281831.84,14200.16,99167.61
Philippines,1968,26.71375,154589.75,416683.22,2515018.2,84595.63,512737.57,25538.19,179500.38
Poland,1968,7.925916666666667,673318.26,2132288.28,3130245.3,122215.53,661689.45,63959.32,375076.9
Portugal,1968,14.927916666666668,63557.96,74775.43,254449.5,4454.16,140049.13,2429.79,59207.17
Puerto Rico,1968,25.419,12112.8,30872.47,18700.94,1476.1,13221.81,709.35,10265.73
Qatar,1968,26.69833333333333,13070.82,3954.62,57073.73,311.59,147082.99,1409.72,210.38
Reunion,1968,23.0415,2163.2,1259.27,5622.85,1020.05,2422.72,430.26,1881.46
Romania,1968,9.416583333333334,234117.79,581589.29,727902.83,42936.27,288413.24,11169.26,260397.84
Russia,1968,-5.589583333333335,4027942.32,8373609.18,14930019.25,613908.94,5539926.57,307051.93,1931812.17
Rwanda,1968,19.0575,3219.15,953.06,185084.04,13750.79,29413.47,3801.77,13026.32
Saint Lucia,1968,26.68675,476.19,76.89,2468.02,245.55,658.26,43.85,440.79
Samoa,1968,26.23933333333333,284.38,236.37,2686.74,218.67,843.42,70.19,751.02
Saudi Arabia,1968,25.42633333333333,47411.38,174116.42,171083.84,926.9,1247441.44,3514.95,10605.26
Senegal,1968,27.80275,6975.41,4568.1,253900.04,6140.71,49629.38,1782.34,29479.96
Serbia,1968,10.440583333333333,78726.9,252974.24,269276.23,15664.12,76592.17,5077.59,14475.75
Seychelles,1968,26.65533333333333,140.87,54.34,819.76,154.33,229.13,66.88,194.32
Sierra Leone,1968,26.16616666666667,6462.79,2545.17,218189.24,9920.61,34453.28,2841.5,12026.02
Singapore,1968,26.745666666666665,13765.57,54111.13,20116.4,4174.55,15635.31,1403.48,8777.16
Slovakia,1968,7.958333333333333,91188.06,328163.67,530521.1,19052.87,145361.25,4143.27,42209.65
Slovenia,1968,9.781166666666667,51415.89,17186.2,218384.94,2869.97,34680.73,571.34,23124.12
Solomon Islands,1968,26.544333333333334,277.6,290.11,2572.56,220.43,796.92,74.91,569.79
Somalia,1968,26.60766666666667,11240.79,1523.7,246568.95,13150.71,39951.05,3687.02,60049.8
South Africa,1968,17.043583333333334,489155.38,1076446.73,2903002.36,103651.88,582052.1,45810.91,170791.53
South America,1968,21.91325,1754628.42,3319271.62,18632690.24,629826.45,5178744.05,199222.33,2069249.5
South Korea,1968,11.956416666666668,107570.84,327028.67,449324.51,80387.16,108646.0,39822.14,266735.15
Spain,1968,13.938833333333331,713253.45,1221867.28,1459041.67,25253.55,367160.66,16411.6,311193.93
Sri Lanka,1968,27.13583333333333,47462.34,31039.5,778658.07,39935.62,182437.47,10479.58,73809.28
Sudan,1968,26.8685,43190.43,17964.55,1369150.92,29375.49,245966.59,9028.24,120872.02
Suriname,1968,26.19683333333333,5849.9,2039.52,28526.89,1036.21,5582.92,322.55,2353.06
Sweden,1968,1.9126666666666667,217424.15,708136.95,816455.28,8682.08,268131.89,8101.39,80236.04
Switzerland,1968,7.061916666666666,177882.35,165315.68,901540.76,9099.87,256509.93,9190.61,92562.09
Syria,1968,18.28375,24877.3,29274.51,88161.8,1149.5,48718.14,1217.49,19157.22
Taiwan,1968,21.725,66883.56,292899.12,223477.97,19819.87,135633.75,9997.09,89791.72
Tajikistan,1968,4.148083333333333,38430.15,37988.03,287054.09,11343.32,68429.54,1873.29,8262.52
Tanzania,1968,21.96633333333333,32144.97,8160.47,1606457.16,75216.39,237819.07,20230.86,104697.39
Thailand,1968,26.35608333333333,131206.7,173898.39,3135324.27,42167.06,633286.17,16412.24,315933.7
Togo,1968,26.84841666666667,3165.41,737.28,138121.66,4217.49,31220.14,1246.24,10858.43
Tonga,1968,23.411916666666663,148.57,120.4,717.85,137.13,316.03,41.91,391.55
Tunisia,1968,20.251,19838.25,29654.07,153974.93,5572.77,64042.99,2363.87,21151.71
Turkey,1968,11.930166666666668,197322.96,339065.81,1533667.88,62674.51,580361.79,17218.04,340845.65
Turkmenistan,1968,15.132416666666666,110502.7,89114.25,220238.11,5203.94,53755.42,2430.77,6966.48
Uganda,1968,22.757500000000004,27872.89,6605.57,1183566.49,37475.85,199138.36,10384.0,70054.98
Ukraine,1968,8.091416666666666,1393797.43,3832539.05,4586519.65,155024.94,1385678.33,52583.04,786575.1
United Arab Emirates,1968,27.46641666666667,10507.92,2465.58,37352.94,288.77,205201.53,1393.22,767.72
United Kingdom,1968,8.565916666666666,2489294.83,5627764.9,10208993.19,131371.11,2031292.25,105254.34,362605.94
United States,1968,8.55325,23768529.54,26187251.8,164041732.8,577745.85,28286170.37,369489.66,2656206.89
Uruguay,1968,17.609666666666666,34586.5,39053.31,225837.32,5692.16,38547.21,2260.63,71234.04
Uzbekistan,1968,12.604333333333336,232224.23,1035492.53,939987.73,23582.69,88950.29,5087.05,25786.77
Venezuela,1968,25.084416666666662,175190.99,480274.58,2156212.69,10817.79,1795662.13,6688.33,86992.49
Vietnam,1968,23.90341666666667,129779.44,108751.57,5202021.92,105867.79,1026631.35,32809.85,351770.08
Western Sahara,1968,22.27933333333333,156.58,15.49,181.99,341.13,62.11,90.38,897.15
Yemen,1968,26.10483333333333,72037.68,42127.52,420972.12,1785.94,163985.5,3204.01,21243.15
Zambia,1968,21.247333333333334,25750.79,1500736.81,854454.99,19470.45,107914.24,5924.63,32218.79
Zimbabwe,1968,21.363166666666668,36629.98,70213.07,701072.35,42106.04,127507.61,12524.58,56395.39
Afghanistan,1969,13.805083333333334,203661.52,5000.61,405447.41,17805.63,165163.05,5448.52,63859.37
Africa,1969,24.55483333333333,1590967.48,3672681.14,31982015.03,1198420.04,7860748.98,406498.09,2395255.94
Albania,1969,12.802916666666668,16637.14,46768.73,190252.5,10457.0,36678.52,1278.23,18469.62
